city,countyOrParish,stateOrProvince,address,shortAddress
Granville,Washington,NY,"34 Quaker Street, Granville, NY 12832",34 Quaker Street
Corinth,Saratoga,NY,"216 Miner Road, Corinth, NY 12859",216 Miner Road
Wilton,Saratoga,NY,"52 Daintree Drive, Wilton, NY 12866",52 Daintree Drive
Greenburgh,Westchester,NY,"1201 Old Country Road, Greenburgh, NY 10607",1201 Old Country Road
Schenectady,Schenectady,NY,"1201 Nott Street, Suite 306, Schenectady, NY 12308","1201 Nott Street, Suite 306"
Albany,Albany,NY,"16 Berncliffe Avenue, Albany, NY 12208",16 Berncliffe Avenue
Brunswick,Rensselaer,NY,"11 Charl Lane, Brunswick, NY 12180",11 Charl Lane
East Greenbush,Rensselaer,NY,"132 Horizon View Drive, East Greenbush, NY 12061",132 Horizon View Drive
Niskayuna,Schenectady,NY,"1200 Hillside Avenue, 805, Niskayuna, NY 12309","1200 Hillside Avenue, 805"
Niskayuna,Schenectady,NY,"2076 Baker Avenue, Niskayuna, NY 12309",2076 Baker Avenue
North Greenbush,Rensselaer,NY,"2302 Brianna Boulevard, North Greenbush, NY 12180",2302 Brianna Boulevard
Queensbury,Warren,NY,"68 Gurney Lane, Queensbury, NY 12804",68 Gurney Lane
Hadley,Saratoga,NY,"173 Third Avenue Avenue, Hadley, NY 12835",173 Third Avenue Avenue
Cohoes,Albany,NY,"27 McElwain Avenue, Cohoes, NY 12047",27 McElwain Avenue
Malta,Saratoga,NY,"4175 Silver Beach Road, Malta, NY 12020",4175 Silver Beach Road
Clifton Park,Saratoga,NY,"6 Hemlock Drive, Clifton Park, NY 12065",6 Hemlock Drive
Saratoga Springs,Saratoga,NY,"69 Petrified Gardens Road, Saratoga Springs, NY 12866",69 Petrified Gardens Road
Colonie,Albany,NY,"188 Exchange Street, Colonie, NY 12205",188 Exchange Street
Colonie,Albany,NY,"8 Dennis Terrace, Colonie, NY 12303",8 Dennis Terrace
Troy,Rensselaer,NY,"811 1st Avenue, Troy, NY 12182",811 1st Avenue
Halfmoon,Saratoga,NY,"51 Cooks Court, Halfmoon, NY 12188",51 Cooks Court
Esperance,Schoharie,NY,"162 Main Street, Esperance, NY 12066",162 Main Street
Hudson Falls,Washington,NY,"110 Oak Street, Hudson Falls, NY 12839",110 Oak Street
Clifton Park,Saratoga,NY,"29 Liberty Way, Clifton Park, NY 12065",29 Liberty Way
Rensselaer,Rensselaer,NY,"76 Elm Street, Rensselaer, NY 12144",76 Elm Street
Cohoes,Albany,NY,"12203 Admirals Walk Drive, Cohoes, NY 12047",12203 Admirals Walk Drive
Glenville,Schenectady,NY,"147 Horstman Drive, Glenville, NY 12302",147 Horstman Drive
Queensbury,Warren,NY,"39 Western Avenue, Queensbury, NY 12804",39 Western Avenue
Fultonville,Montgomery,NY,"21 Washington Street Street, Fultonville, NY 12072",21 Washington Street Street
Rotterdam,Schenectady,NY,"42 Merritt Drive, Rotterdam, NY 12306",42 Merritt Drive
Colonie,Albany,NY,"12 Swiss Court, Colonie, NY 12205",12 Swiss Court
New Scotland,Albany,NY,"192 Groesbeck Road, New Scotland, NY 12067",192 Groesbeck Road
Gloversville,Fulton,NY,"37 Highland Terrace, Gloversville, NY 12078",37 Highland Terrace
Amsterdam,Montgomery,NY,"8 Bunn Street, Amsterdam, NY 12010",8 Bunn Street
Stillwater,Saratoga,NY,"4 Native Dancer Lane, Stillwater, NY 12866",4 Native Dancer Lane
Colonie,Albany,NY,"25 Highland Avenue, Colonie, NY 12205",25 Highland Avenue
Schenectady,Schenectady,NY,"170 Ward Avenue, Schenectady, NY 12304",170 Ward Avenue
Albany,Albany,NY,"87 Kent Street, Albany, NY 12206",87 Kent Street
Brunswick,Rensselaer,NY,"86 N Lake Avenue, Brunswick, NY 12180",86 N Lake Avenue
Northville,Fulton,NY,"292 N Main Street, Northville, NY 12134",292 N Main Street
Granville,Washington,NY,"14 Lincoln Street, Granville, NY 12832",14 Lincoln Street
Chester,Warren,NY,"68 Woodridge Road, Chester, NY 12817",68 Woodridge Road
St Johnsville,Montgomery,NY,"7694 State Highway 5, St Johnsville, NY 13452",7694 State Highway 5
Glens Falls,Warren,NY,"27 Orville Street, Glens Falls, NY 12801",27 Orville Street
Cohoes,Albany,NY,"114 Hudson Avenue, Cohoes, NY 12047",114 Hudson Avenue
"Saratoga Springs, Inside",Saratoga,NY,"235 Maple Avenue, Saratoga Springs, Inside, NY 12866",235 Maple Avenue
Palatine Bridge,Montgomery,NY,"230 Groff Road Road, Palatine Bridge, NY 13428",230 Groff Road Road
Ephratah,Fulton,NY,"931 County Highway 119, Ephratah, NY 13452",931 County Highway 119
Watervliet,Albany,NY,"1813 12th Avenue, Watervliet, NY 12189",1813 12th Avenue
Clifton Park,Saratoga,NY,"12 Teakwood Drive, Clifton Park, NY 12065",12 Teakwood Drive
Canisteo,Steuben,NY,"L21.126 Roosa Road, Canisteo, NY 14823",L21.126 Roosa Road
Clifton Park,Saratoga,NY,"24 Willard Drive, Clifton Park, NY 12065",24 Willard Drive
Greenville,Greene,NY,"72 S Plattekill Road, Greenville, NY 12083",72 S Plattekill Road
East Greenbush,Rensselaer,NY,"30 Point View Drive, East Greenbush, NY 12061",30 Point View Drive
Crown Point,Essex,NY,"59 Lagrange Road, Crown Point, NY 12928",59 Lagrange Road
Colonie,Albany,NY,"18 Delia Street, Colonie, NY 12211",18 Delia Street
Albany,Albany,NY,"48 Second Avenue, Albany, NY 12202",48 Second Avenue
Hadley,Saratoga,NY,"6012 Route 9N, Hadley, NY 12822",6012 Route 9N
Berlin,Rensselaer,NY,"613 SE Hollow Road, Berlin, NY 12022",613 SE Hollow Road
Albany,Albany,NY,"3 Myrtle Avenue, Albany, NY 12202",3 Myrtle Avenue
Schenectady,Schenectady,NY,"1027 Glenwood Boulevard, Schenectady, NY 12308",1027 Glenwood Boulevard
Colonie,Albany,NY,"10 Grove Avenue, Colonie, NY 12110",10 Grove Avenue
Rotterdam,Schenectady,NY,"2260 Greenpoint Avenue, Rotterdam, NY 12303",2260 Greenpoint Avenue
Watervliet,Albany,NY,"1908 4th Avenue, 2 S, Watervliet, NY 12189","1908 4th Avenue, 2 S"
Bolton,Warren,NY,"4387 Lake Shore Drive, Bolton, NY 12824",4387 Lake Shore Drive
Colonie,Albany,NY,"216 Old Loudon Road, Colonie, NY 12110",216 Old Loudon Road
Bethlehem,Albany,NY,"19 Ridge Road, Bethlehem, NY 12054",19 Ridge Road
Altamont,Albany,NY,"40 Indian Ladder Drive, Altamont, NY 12009",40 Indian Ladder Drive
Colonie,Albany,NY,"142 Old Loudon Road, 1st Flr south, Colonie, NY 12110","142 Old Loudon Road, 1st Flr south"
Amsterdam,Montgomery,NY,"113 Chapel Place, Amsterdam, NY 12010",113 Chapel Place
Amsterdam,Montgomery,NY,"1423 Midline Road, Amsterdam, NY 12010",1423 Midline Road
Watervliet,Albany,NY,"536 3rd Avenue, Watervliet, NY 12189",536 3rd Avenue
Troy,Rensselaer,NY,"6 Blakely Court, FL 1, Troy, NY 12180","6 Blakely Court, FL 1"
Schaghticoke,Rensselaer,NY,"2 Ribbon Candy Lane, Schaghticoke, NY 12182",2 Ribbon Candy Lane
Schenectady,Schenectady,NY,"1841 Avenue A, 1, Schenectady, NY 12308","1841 Avenue A, 1"
Greenwich,Washington,NY,"132 Rabbit Road, Greenwich, NY 12834",132 Rabbit Road
Amsterdam,Montgomery,NY,"9-11 Teller Street, Amsterdam, NY 12010",9-11 Teller Street
Schodack,Rensselaer,NY,"1462 Schodack Landing Road, Schodack, NY 12156",1462 Schodack Landing Road
Albany,Albany,NY,"42 Peyster Street, Albany, NY 12208",42 Peyster Street
Summit,Schoharie,NY,"L11.11 Rossman Valley Road, Summit, NY 12175",L11.11 Rossman Valley Road
Schenectady,Schenectady,NY,"125 Daniels Avenue, Schenectady, NY 12304",125 Daniels Avenue
Schenectady,Schenectady,NY,"198 Hillcrest Avenue, Schenectady, NY 12304",198 Hillcrest Avenue
Menands,Albany,NY,"1245 Broadway, Menands, NY 12204",1245 Broadway
Glenville,Schenectady,NY,"553 Sacandaga Road, Glenville, NY 12302",553 Sacandaga Road
Stillwater,Saratoga,NY,"12 Shenandoah Drive, 202, Stillwater, NY 12866","12 Shenandoah Drive, 202"
Ballston Spa,Saratoga,NY,"107 Hermes Road, suite 200B, Ballston Spa, NY 12020","107 Hermes Road, suite 200B"
Menands,Albany,NY,"23 Wolfert Avenue, Menands, NY 12204",23 Wolfert Avenue
Moreau,Saratoga,NY,"11 Feeder Dam Road, Moreau, NY 12803",11 Feeder Dam Road
Durham,Greene,NY,"463 Golden Hill Road, Durham, NY 12413",463 Golden Hill Road
Halfmoon,Saratoga,NY,"10 Harris Road, Halfmoon, NY 12188",10 Harris Road
Duanesburg,Schenectady,NY,"6658 Duanesburg Road, Duanesburg, NY 12056",6658 Duanesburg Road
Niskayuna,Schenectady,NY,"2749 Troy Schenectady Road, Niskayuna, NY 12309",2749 Troy Schenectady Road
Troy,Rensselaer,NY,"38 Desson Avenue, Troy, NY 12180",38 Desson Avenue
Ballston Spa,Saratoga,NY,"30 Saratoga Avenue, 404, Ballston Spa, NY 12020","30 Saratoga Avenue, 404"
Colonie,Albany,NY,"7 David Road, Colonie, NY 12110",7 David Road
Albany,Albany,NY,"28 Albany Street, Albany, NY 12204",28 Albany Street
Corinth,Saratoga,NY,"23 Raymond Street, Corinth, NY 12822",23 Raymond Street
Ballston Spa,Saratoga,NY,"25 Dublin Drive, Ballston Spa, NY 12020",25 Dublin Drive
Albany,Albany,NY,"81 Lincoln Avenue, Albany, NY 12206",81 Lincoln Avenue
Bethlehem,Albany,NY,"19 Sandy Lane, Bethlehem, NY 12158",19 Sandy Lane
Columbus,Chenango,NY,"369 Great Brook-Potter Road, Columbus, NY 13411",369 Great Brook-Potter Road
Milton,Saratoga,NY,"71 Greenfield Avenue, Milton, NY 12020",71 Greenfield Avenue
Cairo,Greene,NY,"1268 County Route 67, Cairo, NY 12413",1268 County Route 67
Albany,Albany,NY,"979 Washington Avenue, Albany, NY 12206",979 Washington Avenue
Salem,Washington,NY,"524 County Route 30, Salem, NY 12865",524 County Route 30
Hebron,Washington,NY,"47 County Route 28, Hebron, NY 12832",47 County Route 28
Schenectady,Schenectady,NY,"337 Perry Street, Schenectady, NY 12306",337 Perry Street
Hoosick Falls,Rensselaer,NY,"41-43 Fog Hill Road, Hoosick Falls, NY 12090",41-43 Fog Hill Road
Schenectady,Schenectady,NY,"252 Wemple Road, Schenectady, NY 12306",252 Wemple Road
Amsterdam,Montgomery,NY,"232-234 Locust Avenue, Amsterdam, NY 12010",232-234 Locust Avenue
Milton,Saratoga,NY,"71 Hoffman Road, Milton, NY 12866",71 Hoffman Road
Warrensburg,Warren,NY,"899 Schroon River Road, Warrensburg, NY 12885",899 Schroon River Road
Schenectady,Schenectady,NY,"458 Eleventh Street, Schenectady, NY 12306",458 Eleventh Street
Colonie,Albany,NY,"7 Stacey Court, Colonie, NY 12047",7 Stacey Court
"Saratoga Springs, Inside",Saratoga,NY,"74 Mitchell Street, Saratoga Springs, Inside, NY 12866",74 Mitchell Street
Albany,Albany,NY,"56 Alexander Street, 1, Albany, NY 12202","56 Alexander Street, 1"
Minerva,Essex,NY,"229 Northwoods Club Road, Minerva, NY 12851",229 Northwoods Club Road
Ravena,Albany,NY,"L14 Eastview Drive, Ravena, NY 12143",L14 Eastview Drive
Indian Lake,Hamilton,NY,"L21 Lake Snow Road, Indian Lake, NY 12842",L21 Lake Snow Road
Niskayuna,Schenectady,NY,"2032 Hoover Road, Niskayuna, NY 12309",2032 Hoover Road
Niskayuna,Schenectady,NY,"1005 Millington Road, Niskayuna, NY 12309",1005 Millington Road
Clifton Park,Saratoga,NY,"2c LaCosta Drive, Clifton Park, NY 12065",2c LaCosta Drive
Ballston,Saratoga,NY,"56 Forestbrook Drive, Ballston, NY 12019",56 Forestbrook Drive
Albany,Albany,NY,"67 Victoria Way, Albany, NY 12209",67 Victoria Way
Broadalbin,Fulton,NY,"L15.1 County Highway 107, Broadalbin, NY 12010",L15.1 County Highway 107
Menands,Albany,NY,"248 Van Rensselaer Boulevard, Menands, NY 12204",248 Van Rensselaer Boulevard
Edinburg,Saratoga,NY,"339 Military Road, Edinburg, NY 12134",339 Military Road
Broadalbin,Fulton,NY,"330 Honeywell Corners Road, Broadalbin, NY 12025",330 Honeywell Corners Road
Glenville,Schenectady,NY,"140 Willow Lane, Glenville, NY 12302",140 Willow Lane
Schaghticoke,Rensselaer,NY,"4 Ribbon Candy Lane, Schaghticoke, NY 12182",4 Ribbon Candy Lane
Watervliet,Albany,NY,"720 4th Avenue, Watervliet, NY 12189",720 4th Avenue
Chester,Warren,NY,"L29 NY State Route 28N, Chester, NY 12853",L29 NY State Route 28N
Greenville,Greene,NY,"52 S Plattekill Road, Greenville, NY 12083",52 S Plattekill Road
Corinth,Saratoga,NY,"332 Main Street, Corinth, NY 12822",332 Main Street
Westport,Essex,NY,"24 Decker Road, Westport, NY 12993",24 Decker Road
North Greenbush,Rensselaer,NY,"152 Bloomingrove Drive, North Greenbush, NY 12180",152 Bloomingrove Drive
Whitehall,Washington,NY,"17 Bellamy Street, Whitehall, NY 12887",17 Bellamy Street
Wilton,Saratoga,NY,"33 Burnham Road, Wilton, NY 12831",33 Burnham Road
Albany,Albany,NY,"38 Hawthorne Avenue, Albany, NY 12203",38 Hawthorne Avenue
Greenwich,Washington,NY,"L14 Mahaffy Road, Greenwich, NY 12834",L14 Mahaffy Road
Bethlehem,Albany,NY,"6 Mayfair Drive, Bethlehem, NY 12159",6 Mayfair Drive
Schenectady,Schenectady,NY,"1237 4th Avenue, Schenectady, NY 12303",1237 4th Avenue
Cohoes,Albany,NY,"22 Meadowlark Drive, Cohoes, NY 12047",22 Meadowlark Drive
Sharon Springs,Schoharie,NY,"1562 Highway Route 20, Sharon Springs, NY 13459",1562 Highway Route 20
Milton,Saratoga,NY,"324 Meadowlark Drive, Milton, NY 12020",324 Meadowlark Drive
Saratoga Springs,Saratoga,NY,"233 Lake Avenue, 201, Saratoga Springs, NY 12866","233 Lake Avenue, 201"
Schodack,Rensselaer,NY,"L1.1 Morey Park Road, Schodack, NY 12123",L1.1 Morey Park Road
Fort Plain,Montgomery,NY,"1 Waddell Avenue, Fort Plain, NY 13339",1 Waddell Avenue
Rensselaer,Rensselaer,NY,"1572 2nd Street, Rensselaer, NY 12144",1572 2nd Street
Clifton Park,Saratoga,NY,"933 Riverview Road, Clifton Park, NY 12148",933 Riverview Road
Moriah,Essex,NY,"13 Foote Street, Moriah, NY 12956",13 Foote Street
Troy,Rensselaer,NY,"709 5th Avenue, Troy, NY 12182",709 5th Avenue
Hudson Falls,Washington,NY,"7-9 Fourth Avenue, Hudson Falls, NY 12839",7-9 Fourth Avenue
Lake George,Warren,NY,"3014 Lake Shore Drive, 8B, Lake George, NY 12845","3014 Lake Shore Drive, 8B"
Glens Falls,Warren,NY,"9 Potter Street, Glens Falls, NY 12801",9 Potter Street
Scotia,Schenectady,NY,"330 Mohawk Avenue, Scotia, NY 12302",330 Mohawk Avenue
Kinderhook,Columbia,NY,"38 Robinwood Lane, Kinderhook, NY 12184",38 Robinwood Lane
Schaghticoke,Rensselaer,NY,"92 N Pearl Street, Schaghticoke, NY 12118",92 N Pearl Street
Troy,Rensselaer,NY,"903 8th Avenue, Troy, NY 12182",903 8th Avenue
Hoosick,Rensselaer,NY,"375 Beck Road, Hoosick, NY 12057",375 Beck Road
Ballston Spa,Saratoga,NY,"21 Lewis Street, Ballston Spa, NY 12020",21 Lewis Street
Schenectady,Schenectady,NY,"838 Holland Road, Schenectady, NY 12303",838 Holland Road
Waterford,Saratoga,NY,"22 Clemente Lane, Waterford, NY 12188",22 Clemente Lane
Greenville,Greene,NY,"16 Ingalside Road, Greenville, NY 12083",16 Ingalside Road
Albany,Albany,NY,"102 Fairlawn Avenue, Albany, NY 12203",102 Fairlawn Avenue
Charlton,Saratoga,NY,"1527 Division Street, Charlton, NY 12010",1527 Division Street
Knox,Albany,NY,"41 Knox-Gallupville Road, Knox, NY 12023",41 Knox-Gallupville Road
South Glens Falls,Saratoga,NY,"47 Jackson Avenue, South Glens Falls, NY 12803",47 Jackson Avenue
Middleburgh,Schoharie,NY,"1330 Canady Hill Road, Middleburgh, NY 12122",1330 Canady Hill Road
Guilderland,Albany,NY,"6991 Suzanne Lane, Guilderland, NY 12303",6991 Suzanne Lane
Nassau,Rensselaer,NY,"751 Central Nassau Road, Nassau, NY 12062",751 Central Nassau Road
Colonie,Albany,NY,"31 Buchman Drive, Colonie, NY 12211",31 Buchman Drive
Harpersfield,Delaware,NY,"4953 Gun House Hill Road, Harpersfield, NY 13786",4953 Gun House Hill Road
Hudson Falls,Washington,NY,"30 West Street, Hudson Falls, NY 12839",30 West Street
Summit,Schoharie,NY,"L15.1 Adlers Way, Summit, NY 12036",L15.1 Adlers Way
Middleburgh,Schoharie,NY,"132 Debar Hill Road, 1 1, Middleburgh, NY 12122","132 Debar Hill Road, 1 1"
New Scotland,Albany,NY,"1095 Delaware Turnpike, New Scotland, NY 12054",1095 Delaware Turnpike
Clifton Park,Saratoga,NY,"5 Silver Maple Drive, Clifton Park, NY 12065",5 Silver Maple Drive
Clifton Park,Saratoga,NY,"L22.4 Grooms Road, Clifton Park, NY 12148",L22.4 Grooms Road
Queensbury,Warren,NY,"10 N Church Lane, Queensbury, NY 12804",10 N Church Lane
Bethlehem,Albany,NY,"20 Farmington Court, Bethlehem, NY 12077",20 Farmington Court
Colonie,Albany,NY,"70 Sutherland Drive, Colonie, NY 12189",70 Sutherland Drive
Rensselaer,Rensselaer,NY,"8-10 Spruce Street, Rensselaer, NY 12144",8-10 Spruce Street
Queensbury,Warren,NY,"8 Cherokee Lane, Queensbury, NY 12804",8 Cherokee Lane
Rotterdam,Schenectady,NY,"80 Whispering Pines Way, Rotterdam, NY 12306",80 Whispering Pines Way
Chester,Warren,NY,"251 Stock Farm Road, Chester, NY 12817",251 Stock Farm Road
Albany,Albany,NY,"139 Jefferson Street, Albany, NY 12210",139 Jefferson Street
"Saratoga Springs, Inside",Saratoga,NY,"160 Jackson Street, 2 2, Saratoga Springs, Inside, NY 12866","160 Jackson Street, 2 2"
Glenville,Schenectady,NY,"1974 Potter Road, Glenville, NY 12010",1974 Potter Road
Broadalbin,Fulton,NY,"114 Gull Avenue, Broadalbin, NY 12025",114 Gull Avenue
Guilderland,Albany,NY,"3480 E Lydius Street, Guilderland, NY 12303",3480 E Lydius Street
Middleburgh Village,Schoharie,NY,"109 Railroad Avenue, Middleburgh Village, NY 12122",109 Railroad Avenue
Ballston,Saratoga,NY,"36 Buell Avenue, Ballston, NY 12019",36 Buell Avenue
Saratoga Springs,Saratoga,NY,"20 Summerfield Lane, Saratoga Springs, NY 12866",20 Summerfield Lane
Colonie,Albany,NY,"14 Apple Blossom Lane, Colonie, NY 12205",14 Apple Blossom Lane
Schenectady,Schenectady,NY,"601 Lansing Street, 2nd Floor, Schenectady, NY 12303","601 Lansing Street, 2nd Floor"
Lake George,Warren,NY,"292 Bloody Pond Road, Lake George, NY 12845",292 Bloody Pond Road
East Greenbush,Rensselaer,NY,"8 Rysedorph Lane, East Greenbush, NY 12144",8 Rysedorph Lane
Albany,Albany,NY,"9 Kent Street, Unit 3, Albany, NY 12206","9 Kent Street, Unit 3"
Schenectady,Schenectady,NY,"1311 Lower Broadway, Schenectady, NY 12306",1311 Lower Broadway
Menands,Albany,NY,"59 Glenwood Road, Menands, NY 12204",59 Glenwood Road
North Hudson,Essex,NY,"30 Kenakwar Ln, North Hudson, NY 12855",30 Kenakwar Ln
Bethlehem,Albany,NY,"113A Jericho Road, Bethlehem, NY 12158",113A Jericho Road
Colonie,Albany,NY,"60 Hunting Road, Colonie, NY 12205",60 Hunting Road
Saratoga Springs,Saratoga,NY,"71 Waterview Drive, Saratoga Springs, NY 12866",71 Waterview Drive
Esperance,Schoharie,NY,"1305 NY-30A, Esperance, NY 12035",1305 NY-30A
Colonie,Albany,NY,"96 Harvard Road, Colonie, NY 12189",96 Harvard Road
Rotterdam,Schenectady,NY,"222 Juniper Drive, Rotterdam, NY 12306",222 Juniper Drive
Guilderland,Albany,NY,"6004 Queen Mary Court, Guilderland, NY 12303",6004 Queen Mary Court
Albany,Albany,NY,"115 Fairlawn Avenue, Albany, NY 12203",115 Fairlawn Avenue
Gloversville,Fulton,NY,"26 E Pine Street, Gloversville, NY 12078",26 E Pine Street
Albany,Albany,NY,"25 Clermont Street, Albany, NY 12203",25 Clermont Street
Rotterdam,Schenectady,NY,"244 Howell Street, Rotterdam, NY 12303",244 Howell Street
Berne,Albany,NY,"689 Beaver Dam Road, Berne, NY 12059",689 Beaver Dam Road
Stephentown,Rensselaer,NY,"908 Black River Road, Stephentown, NY 12168",908 Black River Road
Thurman,Warren,NY,"14 Georges Knoll Road, Thurman, NY 12885",14 Georges Knoll Road
Saratoga Springs,Saratoga,NY,"116 West Ave, UNIT 404, Saratoga Springs, NY 12866","116 West Ave, UNIT 404"
Stillwater,Saratoga,NY,"66 Lakepointe Way, Stillwater, NY 12866",66 Lakepointe Way
Albany,Albany,NY,"26 St. Agnes Ln, Albany, NY 12211",26 St. Agnes Ln
Schenectady,Schenectady,NY,"67 Division Street, Schenectady, NY 12304",67 Division Street
Rotterdam,Schenectady,NY,"2008 Curry Road, #2, Rotterdam, NY 12303","2008 Curry Road, #2"
Whitehall,Washington,NY,"33 County Route 18, Whitehall, NY 12887",33 County Route 18
"Saratoga Springs, Outside",Saratoga,NY,"23 Collins Terrace, Saratoga Springs, Outside, NY 12866",23 Collins Terrace
Glenville,Schenectady,NY,"29 Cypress Drive, Glenville, NY 12302",29 Cypress Drive
Queensbury,Warren,NY,"83 Old Mill Lane, Queensbury, NY 12804",83 Old Mill Lane
Bethlehem,Albany,NY,"48 N Helderberg Parkway, Bethlehem, NY 12159",48 N Helderberg Parkway
Mechanicville,Saratoga,NY,"21 Frances Street, Mechanicville, NY 12118",21 Frances Street
Albany,Albany,NY,"29 Beverly Avenue, Albany, NY 12206",29 Beverly Avenue
Glenville,Schenectady,NY,"7 Sandstone Drive, Glenville, NY 12027",7 Sandstone Drive
Saratoga Springs,Saratoga,NY,"41 Madison Street, Saratoga Springs, NY 12866",41 Madison Street
Rotterdam,Schenectady,NY,"1514 Roselawn Avenue, Rotterdam, NY 12306",1514 Roselawn Avenue
Albany,Albany,NY,"339A Madison Avenue, Albany, NY 12210",339A Madison Avenue
Cambridge,Washington,NY,"4 Mitchell Avenue, Cambridge, NY 12816",4 Mitchell Avenue
Guilderland,Albany,NY,"159 Schoolhouse Road, Guilderland, NY 12203",159 Schoolhouse Road
Galway,Saratoga,NY,"1717 Mechanic Street, Galway, NY 12074",1717 Mechanic Street
Amsterdam,Montgomery,NY,"11 Peter Lane, Amsterdam, NY 12010",11 Peter Lane
Kingsbury,Washington,NY,"814 Vaughn Road, Kingsbury, NY 12839",814 Vaughn Road
Mechanicville,Saratoga,NY,"149 Ushers Road, Mechanicville, NY 12118",149 Ushers Road
Troy,Rensselaer,NY,"2416 22nd Street, Troy, NY 12180",2416 22nd Street
New Scotland,Albany,NY,"1803 Delaware Turnpike, New Scotland, NY 12054",1803 Delaware Turnpike
Amsterdam,Montgomery,NY,"69 Stewart Street, Amsterdam, NY 12010",69 Stewart Street
Stillwater,Saratoga,NY,"93 Lakepointe Way, Stillwater, NY 12866",93 Lakepointe Way
Troy,Rensselaer,NY,"133 5th Avenue, Troy, NY 12180",133 5th Avenue
Northville,Fulton,NY,"112 Center Street, Northville, NY 12134",112 Center Street
Lake George Village,Warren,NY,"30 Holly Drive, Lake George Village, NY 12845",30 Holly Drive
Altamont,Albany,NY,"4670 Western Turnpike, Altamont, NY 12009",4670 Western Turnpike
Hague,Warren,NY,"334 New Hague Road, Hague, NY 12836",334 New Hague Road
"Saratoga Springs, Inside",Saratoga,NY,"19 Washington Street, 566 M, Saratoga Springs, Inside, NY 12866","19 Washington Street, 566 M"
Moreau,Saratoga,NY,"18 Sandy Boulevard, Moreau, NY 12803",18 Sandy Boulevard
Amsterdam,Montgomery,NY,"1335 Midline Road, Amsterdam, NY 12010",1335 Midline Road
Catskill,Greene,NY,"25 Thorpe Road, Catskill, NY 12414",25 Thorpe Road
Troy,Rensselaer,NY,"6 Wilde Street, Troy, NY 12180",6 Wilde Street
Greenville,Greene,NY,"152 New Ridge Road, Greenville, NY 12083",152 New Ridge Road
Guilderland,Albany,NY,"35 Indian Ladder Drive, Guilderland, NY 12009",35 Indian Ladder Drive
Ballston Spa,Saratoga,NY,"26 Center Street, Ballston Spa, NY 12020",26 Center Street
Schenectady,Schenectady,NY,"1435 Van Cortland Street, Schenectady, NY 12303",1435 Van Cortland Street
Scotia,Schenectady,NY,"302 Glen Avenue, Scotia, NY 12302",302 Glen Avenue
Stillwater,Saratoga,NY,"930 Hudson Avenue, Stillwater, NY 12170",930 Hudson Avenue
Mayfield,Fulton,NY,"1808 State Highway 29, Mayfield, NY 12078",1808 State Highway 29
Colonie,Albany,NY,"29 Craig Street, Colonie, NY 12189",29 Craig Street
Albany,Albany,NY,"31 Wellington Avenue, 1, Albany, NY 12203","31 Wellington Avenue, 1"
Kingsbury,Washington,NY,"6 Company Bridge Road, Kingsbury, NY 12839",6 Company Bridge Road
Halfmoon,Saratoga,NY,"58 Spice Mill Boulevard, Halfmoon, NY 12065",58 Spice Mill Boulevard
Albany,Albany,NY,"133 Ramsey Place, Albany, NY 12209",133 Ramsey Place
Glenville,Schenectady,NY,"47 Onderdonk Road, Glenville, NY 12302",47 Onderdonk Road
Colonie,Albany,NY,"31 Taft Avenue, Colonie, NY 12110",31 Taft Avenue
Troy,Rensselaer,NY,"541 5th Avenue, Troy, NY 12182",541 5th Avenue
Halfmoon,Saratoga,NY,"32 Wheatfield Way, Halfmoon, NY 12118",32 Wheatfield Way
Fort Edward,Washington,NY,"31 East Street, Fort Edward, NY 12828",31 East Street
Cambridge,Washington,NY,"40 Wilderness Way, Cambridge, NY 12834",40 Wilderness Way
Glenville,Schenectady,NY,"41 Harlau Drive, Glenville, NY 12302",41 Harlau Drive
Saratoga Springs,Saratoga,NY,"423 Broadway, 25, Saratoga Springs, NY 12866","423 Broadway, 25"
Green Island,Albany,NY,"111 Hudson Avenue, Rear, Green Island, NY 12183","111 Hudson Avenue, Rear"
East Greenbush,Rensselaer,NY,"81 Moore Road, East Greenbush, NY 12061",81 Moore Road
Amsterdam,Montgomery,NY,"8 Fourth Avenue, Amsterdam, NY 12010",8 Fourth Avenue
Granville,Washington,NY,"1 Grey Goose Road, Granville, NY 12832",1 Grey Goose Road
Granville,Washington,NY,"544 County Route 12, Granville, NY 12832",544 County Route 12
Hoosick Falls,Rensselaer,NY,"26 Seward Street, Hoosick Falls, NY 12090",26 Seward Street
Guilderland,Albany,NY,"204 Concord Hill Drive, Guilderland, NY 12009",204 Concord Hill Drive
Bethlehem,Albany,NY,"78 Mosher Road, Bethlehem, NY 12054",78 Mosher Road
Menands,Albany,NY,"704 N Pearl Street, Menands, NY 12204",704 N Pearl Street
Schenectady,Schenectady,NY,"3095 Albany Street, Schenectady, NY 12304",3095 Albany Street
Colonie,Albany,NY,"40 Whitaker Drive, Colonie, NY 12047",40 Whitaker Drive
Colonie,Albany,NY,"7 Van Dyke Road, B, Colonie, NY 12205","7 Van Dyke Road, B"
Rotterdam,Schenectady,NY,"400 Donald Drive, Rotterdam, NY 12306",400 Donald Drive
Fort Ann,Washington,NY,"241 Clay Hill Road, Fort Ann, NY 12827",241 Clay Hill Road
Middleburgh,Schoharie,NY,"244 Main Street, Middleburgh, NY 12122",244 Main Street
